order_item_id,order_id,product_id,quantity,unit_price
OI0000001,O001319,P00230,3,386.73
OI0000002,O000899,P00421,1,160.53
OI0000003,O000089,P00124,1,382.71
OI0000004,O000503,P00088,2,767.09
OI0000005,O000767,P00849,4,1469.3
OI0000006,O000214,P00141,4,100.21
OI0000007,O001446,P00916,1,304.11
OI0000008,O000526,P00785,3,942.78
OI0000009,O000192,P00051,3,460.02
OI0000010,O000694,P00987,1,1288.46
OI0000011,O000642,P00567,2,213.43
OI0000012,O001248,P00929,1,1444.92
OI0000013,O000555,P00405,1,1369.0
OI0000014,O000387,P00337,3,1331.86
OI0000015,O000681,P00662,1,263.74
OI0000016,O000776,P00665,1,497.6
OI0000017,O001498,P00963,1,1207.12
OI0000018,O000203,P00731,2,1212.67
OI0000019,O001010,P00731,1,1059.24
OI0000020,O000447,P00366,1,674.84
OI0000021,O000900,P00908,2,470.83
OI0000022,O001092,P00911,1,1444.62
OI0000023,O001116,P00998,3,213.2
OI0000024,O000778,P00980,1,70.41
OI0000025,O000178,P00854,1,18.65
OI0000026,O000829,P00258,1,1163.67
OI0000027,O000559,P00388,1,89.77
OI0000028,O001027,P00045,4,810.27
OI0000029,O000103,P00269,1,554.1
OI0000030,O001297,P00311,2,224.63
OI0000031,O000116,P00672,1,1112.19
OI0000032,O000859,P00278,2,87.24
OI0000033,O000464,P00857,4,481.0
OI0000034,O000104,P00475,1,845.48
OI0000035,O000259,P00567,2,606.61
OI0000036,O001332,P00145,4,392.43
OI0000037,O001391,P00966,2,1389.37
OI0000038,O000929,P00235,1,1396.8
OI0000039,O000810,P00691,1,627.06
OI0000040,O000642,P00720,1,593.65
OI0000041,O000807,P00136,3,464.54
OI0000042,O001023,P00445,2,1284.36
OI0000043,O001326,P00353,4,854.03
OI0000044,O000560,P00394,0,138.84
OI0000045,O000027,P00994,1,1280.71
OI0000046,O000508,P00275,1,804.65
OI0000047,O000527,P00384,1,626.31
OI0000048,O000775,P00910,1,510.11
OI0000049,O001389,P00323,1,153.64
OI0000050,O000953,P00183,3,1435.27
OI0000051,O000298,P00573,1,1113.16
OI0000052,O000777,P00440,1,202.01
OI0000053,O000361,P00063,4,769.35
OI0000054,O000504,P00873,4,835.58
OI0000055,O000588,P00727,1,255.99
OI0000056,O000030,P00872,4,643.7
OI0000057,O001463,P00651,1,970.39
OI0000058,O001364,P00943,1,429.6
