payment_id,order_id,payment_date,payment_method,amount,currency,payment_status
PAY0000001,O000183,2024-06-20 20:48:52.451678038,PAYPAL,607.02,INR,SUCCESS
PAY0000002,O000235,2023-05-03 22:00:57.853330851,UPI,4684.15,EUR,FAILED
PAY0000003,O000619,2024-04-03 03:52:39.540230751,GIFT_CARD,2886.45,USD,SUCCESS
PAY0000004,O001210,2024-05-10 01:19:27.225660324,GIFT_CARD,463.2,EUR,SUCCESS
PAY0000005,O000266,2024-08-08 12:33:54.176459551,CREDIT_CARD,1103.23,USD,SUCCESS
PAY0000006,O001009,2024-09-10 13:10:19.601130724,CREDIT_CARD,3627.95,USD,SUCCESS
PAY0000007,O000842,2023-04-26 19:49:13.157557964,CREDIT_CARD,144.96,USD,FAILED
PAY0000008,O000329,2023-04-11 22:19:42.725234747,GIFT_CARD,3628.28,USD,SUCCESS
PAY0000009,O001389,2024-03-24 18:47:17.341182947,CREDIT_CARD,4557.32,USD,SUCCESS
PAY0000010,O000683,2024-07-06 13:10:40.678368807,GIFT_CARD,281.91,USD,SUCCESS
PAY0000011,O000024,2023-07-18 19:09:32.608077288,PAYPAL,932.1,USD,FAILED
PAY0000012,O001285,2024-01-19 20:50:34.949907303,CREDIT_CARD,11.89,INR,SUCCESS
PAY0000013,O001379,2024-07-17 17:38:05.367545605,UPI,545.15,USD,FAILED
PAY0000014,O000196,2024-07-14 06:39:16.042942047,PAYPAL,3084.96,USD,FAILED
PAY0000015,O000611,2024-04-22 06:55:45.517126082,GIFT_CARD,224.09,INR,SUCCESS
PAY0000016,O001357,2023-02-27 12:21:37.557909250,CREDIT_CARD,2129.18,USD,SUCCESS
PAY0000017,O000613,2023-02-06 23:16:49.555310488,UPI,2517.01,USD,SUCCESS
PAY0000018,O000632,2023-10-11 13:33:42.595436573,GIFT_CARD,4533.15,EUR,SUCCESS
PAY0000019,O000321,2023-01-20 11:33:49.362897396,PAYPAL,2371.45,USD,SUCCESS
PAY0000020,O001471,2024-10-22 00:36:31.298743010,UPI,712.73,USD,SUCCESS
PAY0000021,O001401,2023-01-15 16:56:04.295409918,PAYPAL,1446.46,EUR,SUCCESS
PAY0000022,O000203,2023-01-22 14:49:02.441019058,CREDIT_CARD,3360.98,USD,SUCCESS
PAY0000023,O001114,2023-05-01 16:32:08.408644676,UPI,560.58,EUR,SUCCESS
PAY0000024,O000177,2024-04-02 17:18:18.379364491,CREDIT_CARD,1158.71,USD,SUCCESS
PAY0000025,O000627,2024-01-31 08:01:42.755062580,GIFT_CARD,4978.89,USD,SUCCESS
PAY0000026,O000032,2024-04-26 10:12:52.676819086,GIFT_CARD,27.67,USD,SUCCESS
PAY0000027,O000946,2024-10-14 07:05:09.859963894,PAYPAL,760.92,INR,SUCCESS
PAY0000028,O000727,2023-11-29 02:38:52.087995529,CREDIT_CARD,4218.43,USD,SUCCESS
PAY0000029,O000954,2023-02-02 00:42:25.550734758,CREDIT_CARD,506.91,INR,SUCCESS
PAY0000030,O000820,2024-07-11 08:27:39.145337105,UPI,168.21,USD,SUCCESS
PAY0000031,O000791,2024-08-15 17:37:02.596067190,GIFT_CARD,606.56,USD,FAILED
PAY0000032,O000243,2023-02-06 10:02:38.634765387,CREDIT_CARD,3467.99,USD,SUCCESS
PAY0000033,O000070,2023-06-27 06:43:10.648302794,CREDIT_CARD,4965.55,USD,FAILED
PAY0000034,O001015,2024-07-16 12:51:21.327451229,CREDIT_CARD,2953.18,EUR,SUCCESS
PAY0000035,O001095,2023-10-02 14:14:23.205592871,GIFT_CARD,621.58,USD,SUCCESS
PAY0000036,O000158,2023-12-12 00:51:09.003947735,GIFT_CARD,918.89,USD,SUCCESS
PAY0000037,O000549,2024-08-23 22:02:20.429585934,GIFT_CARD,2688.41,EUR,SUCCESS
PAY0000038,O000326,2023-03-11 01:44:03.526541471,PAYPAL,3578.29,INR,SUCCESS
PAY0000039,O001059,2024-05-09 10:01:16.912675619,GIFT_CARD,3314.56,USD,SUCCESS
PAY0000040,O000460,2023-06-06 22:31:35.241158962,GIFT_CARD,2873.63,USD,FAILED
PAY0000041,O000416,2023-02-15 17:39:11.060858011,GIFT_CARD,4931.35,USD,FAILED
PAY0000042,O000571,2024-04-28 14:57:44.117119312,UPI,990.17,EUR,SUCCESS
PAY0000043,O000886,2023-03-30 15:08:33.619520664,UPI,864.52,INR,SUCCESS
PAY0000044,O001443,2024-06-29 07:34:01.827192307,CREDIT_CARD,4295.31,USD,SUCCESS
