shipment_id,order_id,shipment_date,delivery_date,carrier,shipment_status
S000001,O001142,2024-03-08 12:27:53.071539640,2024-03-17 12:27:53.071539640,DHL,DELIVERED
S000002,O001163,2024-06-26 09:32:43.524616718,2024-06-29 09:32:43.524616718,FEDEX,DELIVERED
S000003,O000903,2024-09-19 06:50:21.361634016,2024-09-20 06:50:21.361634016,DHL,DELIVERED
S000004,O001327,2023-09-19 03:48:57.318247080,2023-09-26 03:48:57.318247080,FEDEX,IN_TRANSIT
S000005,O000752,2024-04-27 09:46:34.814451694,,FEDEX,DELIVERED
S000006,O001233,2024-08-08 11:45:24.110964537,2024-08-11 11:45:24.110964537,UPS,DELIVERED
S000007,O000087,2024-05-25 11:38:10.397120714,2024-05-29 11:38:10.397120714,FEDEX,DELIVERED
S000008,O000859,2024-11-04 03:48:55.840051651,2024-11-07 03:48:55.840051651,FEDEX,DELIVERED
S000009,O000319,2023-12-28 02:55:27.017867565,2024-01-05 02:55:27.017867565,DHL,CANCELLED
S000010,O000967,2024-08-08 22:15:47.500315905,2024-08-17 22:15:47.500315905,UPS,IN_TRANSIT
S000011,O000887,2024-10-26 02:40:09.444635868,2024-11-04 02:40:09.444635868,UPS,DELIVERED
S000012,O000633,2024-02-11 15:33:58.924485207,2024-02-14 15:33:58.924485207,UPS,IN_TRANSIT
S000013,O001269,2023-01-13 14:58:57.697190046,2023-01-16 14:58:57.697190046,FEDEX,DELIVERED
S000014,O001114,2024-08-20 03:30:23.828177214,2024-08-28 03:30:23.828177214,UPS,IN_TRANSIT
S000015,O000652,2024-09-09 14:30:54.649803877,2024-09-10 14:30:54.649803877,FEDEX,DELIVERED
S000016,O001136,2023-10-19 21:23:00.877060175,2023-10-21 21:23:00.877060175,FEDEX,DELIVERED
S000017,O000950,2023-06-17 05:26:52.250594378,2023-06-27 05:26:52.250594378,FEDEX,CANCELLED
S000018,O001418,2024-12-15 01:10:30.564569712,2024-12-19 01:10:30.564569712,FEDEX,IN_TRANSIT
S000019,O000240,2024-02-07 16:26:42.588686228,,UPS,CANCELLED
S000020,O001296,2024-01-12 19:28:05.124476194,2024-01-15 19:28:05.124476194,UPS,IN_TRANSIT
S000021,O000143,2024-11-21 15:13:17.886227608,2024-11-25 15:13:17.886227608,DHL,DELIVERED
S000022,O000954,2023-10-25 21:51:41.066733599,2023-10-30 21:51:41.066733599,UPS,DELIVERED
S000023,O000119,2024-09-11 03:20:33.680024624,2024-09-20 03:20:33.680024624,DHL,DELIVERED
S000024,O000596,2024-05-26 11:24:25.213551760,2024-06-04 11:24:25.213551760,UPS,DELIVERED
S000025,O001275,2024-12-07 10:22:23.950592995,2024-12-13 10:22:23.950592995,UPS,DELIVERED
S000026,O001302,2023-11-09 21:57:52.248598814,2023-11-15 21:57:52.248598814,UPS,DELIVERED
